"ACTION_DIRECTION","ACTION_SCORE","ACTION_TYPE","edge-label","EDGE_UNIQUE_SUID","EVIDENCE_CODE","INITIAL_SOURCE_NAME","INITIAL_TARGET_NAME","interaction","INTERACTION_TYPE","KappaScore","name","Regulates Source","Regulates Target","selected","shared interaction","shared name","SIGNUM","SOURCE_NAME","SOURCE_SYMBOL_NAME","TARGET_NAME","TARGET_SYMBOL_NAME","UNIQUE_ID"
"",,"","","10177","TAS","R-HSA:198933","3106","gene-term","R-HSA:198933",,"Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) HLA-B","","","false","gene-term","Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) HLA-B","","","","","","R-HSA:198933 (gene-term) 3106"
"",,"","","10174","TAS","R-HSA:198933","3105","gene-term","R-HSA:198933",,"Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) HLA-A","","","false","gene-term","Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) HLA-A","","","","","","R-HSA:198933 (gene-term) 3105"
"",,"","","10171","TAS","R-HSA:198933","29992","gene-term","R-HSA:198933",,"Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) PILRA","","","false","gene-term","Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) PILRA","","","","","","R-HSA:198933 (gene-term) 29992"
"",,"","","10168","TAS","R-HSA:198933","2214","gene-term","R-HSA:198933",,"Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) FCGR3A","","","false","gene-term","Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) FCGR3A","","","","","","R-HSA:198933 (gene-term) 2214"
"",,"","","10165","TAS","R-HSA:198933","2209","gene-term","R-HSA:198933",,"Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) FCGR1A","","","false","gene-term","Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) FCGR1A","","","","","","R-HSA:198933 (gene-term) 2209"
"",,"","","10162","TAS","R-HSA:198933","11027","gene-term","R-HSA:198933",,"Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) LILRA2","","","false","gene-term","Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) LILRA2","","","","","","R-HSA:198933 (gene-term) 11027"
"",,"","","10159","TAS","R-HSA:198933","10870","gene-term","R-HSA:198933",,"Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) HCST","","","false","gene-term","Immunoregulatory%20interactions%20between%20a%20Lymphoid%20and%20a%20non-Lymphoid%20cell (gene-term) HCST","","","","","","R-HSA:198933 (gene-term) 10870"
"",,"","","9301","is_a:","","","term-term","term-term","2.0","Toll Like Receptor 2 (TLR2) Cascade (term-term-ontology) Toll-like Receptor Cascades","POSITIVELY_REGULATES","","false","term-term","Toll Like Receptor 2 (TLR2) Cascade (term-term-ontology) Toll-like Receptor Cascades","+","","","","","R-HSA:181438 (term-term-ontology) R-HSA:168898"
"",,"","","9298","kappa:0.9","","","term-term","term-term","0.8978934484313604","Toll Like Receptor 2 (TLR2) Cascade (term-term) Toll-like Receptor Cascades","","","false","term-term","Toll Like Receptor 2 (TLR2) Cascade (term-term) Toll-like Receptor Cascades","+","","","","","R-HSA:181438 (term-term) R-HSA:168898"
"",,"","","9295","is_a:","","","term-term","term-term","2.0","Toll Like Receptor 2 (TLR2) Cascade (term-term-ontology) Toll Like Receptor TLR6:TLR2 Cascade","","POSITIVELY_REGULATES","false","term-term","Toll Like Receptor 2 (TLR2) Cascade (term-term-ontology) Toll Like Receptor TLR6:TLR2 Cascade","+","","","","","R-HSA:181438 (term-term-ontology) R-HSA:168188"
